Close_lag1,Vol.,year,month,day,dayofweek
-1.3844480807870676,-0.1760805708661457,-1.2879696386129973,-1.5818096197799734,-1.4428961678878882,0.50004596182383
-1.359991399245357,-0.18094085522767836,-1.2879696386129973,-1.5818096197799734,-1.329478204979515,0.9997253210363521
-1.357799986940237,-0.17971240709973194,-1.2879696386129973,-1.5818096197799734,-1.2160602420711417,1.4994046802488743
-1.3580796033471219,-0.17784303976236665,-1.2879696386129973,-1.5818096197799734,-1.1026422791627686,-1.4986714750262586
-1.3329401375560415,-0.17521182951038505,-1.2879696386129973,-1.5818096197799734,-0.9892243162543953,-0.9989921158137366
-1.3071504010512758,-0.17309036099814906,-1.2879696386129973,-1.5818096197799734,-0.8758063533460221,-0.4993127566012144
-1.313399502609793,-0.1778459862464114,-1.2879696386129973,-1.5818096197799734,-0.7623883904376489,0.00036660261130777274
-1.3275233825110417,-0.1747403920632215,-1.2879696386129973,-1.5818096197799734,-0.6489704275292757,0.50004596182383
-1.3051085510103033,-0.17796089912415752,-1.2879696386129973,-1.5818096197799734,-0.5355524646209024,0.9997253210363521
-1.3157079636433764,-0.18010040011874753,-1.2879696386129973,-1.5818096197799734,-0.42213450171252925,1.4994046802488743
-1.305076037474619,-0.1799184252641424,-1.2879696386129973,-1.5818096197799734,-0.30871653880415606,-1.4986714750262586
-1.3100311003129026,-0.16967243950621327,-1.2879696386129973,-1.5818096197799734,-0.19529857589578284,-0.9989921158137366
-1.2633546684845594,-0.17332607972173084,-1.2879696386129973,-1.5818096197799734,-0.08188061298740962,-0.4993127566012144
-1.2640634635624766,-0.17829597328972902,-1.2879696386129973,-1.5818096197799734,0.031537349920963596,0.00036660261130777274
-1.2700069378855618,-0.17775629527208855,-1.2879696386129973,-1.5818096197799734,0.1449553128293368,0.50004596182383
-1.2578988971967382,-0.17971712147420357,-1.2879696386129973,-1.5818096197799734,0.25837327573771,0.9997253210363521
-1.257690810568359,-0.17562421941729137,-1.2879696386129973,-1.5818096197799734,0.37179123864608327,1.4994046802488743
-1.2713529982628906,-0.18005514212381984,-1.2879696386129973,-1.5818096197799734,0.48520920155445646,-1.4986714750262586
-1.2755342389518884,-0.180748862327321,-1.2879696386129973,-1.5818096197799734,0.5986271644628297,-0.9989921158137366
-1.269636283578761,-0.18111587637993784,-1.2879696386129973,-1.5818096197799734,0.7120451273712028,-0.4993127566012144
